Timestamp,Bytes Sent (KB),Bytes Received (KB),Upload Speed (KB/s),Download Speed (KB/s)
2024-10-18 17:40:27,2198.2412109375,144071.9912109375,3.927734375,24.7666015625
2024-10-18 17:40:28,2209.87109375,144079.6484375,11.6298828125,7.6572265625
2024-10-18 17:40:30,2210.150390625,144080.8291015625,0.279296875,1.1806640625
2024-10-18 17:40:31,2210.240234375,144080.9140625,0.08984375,0.0849609375
2024-10-18 17:40:32,2210.2421875,144081.142578125,0.001953125,0.228515625
2024-10-18 17:40:34,2210.33203125,144081.2275390625,0.08984375,0.0849609375
2024-10-18 17:40:36,2210.548828125,144081.4326171875,0.216796875,0.205078125
2024-10-18 17:40:37,2218.107421875,144088.587890625,7.55859375,7.1552734375
2024-10-18 17:40:39,2218.2021484375,144088.671875,0.0947265625,0.083984375
2024-10-18 17:40:40,2232.404296875,144090.546875,14.2021484375,1.875
2024-10-18 17:40:41,2243.2314453125,144118.767578125,10.8271484375,28.220703125
2024-10-18 17:40:42,2244.634765625,144127.2265625,1.4033203125,8.458984375
2024-10-18 17:40:44,2256.6953125,144146.73828125,12.060546875,19.51171875
2024-10-18 17:40:45,2281.5654296875,144204.6376953125,24.8701171875,57.8994140625
2024-10-18 17:40:46,2282.1572265625,144211.8876953125,0.591796875,7.25
2024-10-18 17:40:47,2288.3232421875,144221.4404296875,6.166015625,9.552734375
2024-10-18 17:40:48,2301.7734375,144243.130859375,13.4501953125,21.6904296875
2024-10-18 17:40:50,2310.2802734375,144248.2099609375,8.5068359375,5.0791015625
2024-10-18 17:40:51,2311.1103515625,144264.328125,0.830078125,16.1181640625
2024-10-18 17:40:52,2321.8828125,144278.50390625,10.7724609375,14.17578125
2024-10-18 17:40:53,2322.17578125,144279.8896484375,0.29296875,1.3857421875
2024-10-18 17:40:54,2322.2646484375,144279.974609375,0.0888671875,0.0849609375
2024-10-18 17:40:56,2327.8701171875,144286.712890625,5.60546875,6.73828125
2024-10-18 17:40:57,2328.5791015625,144288.44921875,0.708984375,1.736328125
2024-10-18 17:40:58,2333.0439453125,144295.845703125,4.46484375,7.396484375
2024-10-18 17:40:59,2336.662109375,144303.9208984375,3.6181640625,8.0751953125
2024-10-18 17:41:01,2336.6640625,144303.9208984375,0.001953125,0.0
2024-10-18 17:41:02,2347.3134765625,144304.9697265625,10.6494140625,1.048828125
2024-10-18 17:41:03,2357.5703125,144321.900390625,10.2568359375,16.9306640625
2024-10-18 17:41:04,2366.7314453125,144340.0361328125,9.1611328125,18.1357421875
2024-10-18 17:41:06,2367.9306640625,144345.3173828125,1.19921875,5.28125
2024-10-18 17:41:07,2372.625,144347.142578125,4.6943359375,1.8251953125
2024-10-18 17:41:08,2380.298828125,144354.6943359375,7.673828125,7.5517578125
2024-10-18 17:41:09,2383.5400390625,144362.640625,3.2412109375,7.9462890625
2024-10-18 17:41:10,2397.85546875,144378.326171875,14.3154296875,15.685546875
2024-10-18 17:41:12,2397.9443359375,144378.390625,0.0888671875,0.064453125
2024-10-18 17:41:13,2397.9443359375,144378.4755859375,0.0,0.0849609375
2024-10-18 17:41:14,2398.2568359375,144378.5517578125,0.3125,0.076171875
2024-10-18 17:41:15,2405.4912109375,144380.2373046875,7.234375,1.685546875
2024-10-18 17:41:16,2409.5537109375,144382.1875,4.0625,1.9501953125
2024-10-18 17:41:18,2409.5537109375,144382.1875,0.0,0.0
2024-10-18 17:41:19,2409.5537109375,144382.1875,0.0,0.0
2024-10-18 17:41:20,2409.7119140625,144382.70703125,0.158203125,0.51953125
2024-10-18 17:41:21,2409.7119140625,144382.70703125,0.0,0.0
2024-10-18 17:41:22,2409.80078125,144382.7919921875,0.0888671875,0.0849609375
2024-10-18 17:41:24,2409.80078125,144382.8759765625,0.0,0.083984375
2024-10-18 17:41:25,2410.08203125,144383.173828125,0.28125,0.2978515625
2024-10-18 17:41:27,2410.08203125,144383.376953125,0.0,0.203125
2024-10-18 17:41:28,2411.8212890625,144387.8740234375,1.7392578125,4.4970703125
2024-10-18 17:41:29,2416.7841796875,144394.33984375,4.962890625,6.4658203125
2024-10-18 17:41:30,2423.4404296875,144403.0615234375,6.65625,8.7216796875
2024-10-18 17:41:32,2432.5126953125,144417.34375,9.072265625,14.2822265625
2024-10-18 17:41:33,2432.685546875,144417.5126953125,0.1728515625,0.1689453125
2024-10-18 17:41:34,2432.685546875,144417.5126953125,0.0,0.0
2024-10-18 17:41:35,2432.685546875,144417.5126953125,0.0,0.0
2024-10-18 17:41:36,2432.7744140625,144417.59765625,0.0888671875,0.0849609375
2024-10-18 17:41:37,2433.93359375,144422.6220703125,1.1591796875,5.0244140625
2024-10-18 17:41:39,2439.1865234375,144433.9716796875,5.2529296875,11.349609375
2024-10-18 17:41:40,2439.1865234375,144433.9716796875,0.0,0.0
2024-10-18 17:41:41,2439.8388671875,144434.5263671875,0.65234375,0.5546875
2024-10-18 17:41:42,2457.1044921875,144439.67578125,17.265625,5.1494140625
2024-10-18 17:41:43,2457.158203125,144439.740234375,0.0537109375,0.064453125
2024-10-18 17:41:45,2457.2314453125,144439.82421875,0.0732421875,0.083984375
2024-10-18 17:41:46,2457.2841796875,144440.0576171875,0.052734375,0.2333984375
2024-10-18 17:41:47,2457.56640625,144440.3388671875,0.2822265625,0.28125
2024-10-18 17:41:48,2464.1767578125,144447.076171875,6.6103515625,6.7373046875
2024-10-18 17:41:49,2465.9013671875,144448.2890625,1.724609375,1.212890625
2024-10-18 17:41:51,2466.765625,144452.1328125,0.8642578125,3.84375
2024-10-18 17:41:52,2467.1767578125,144452.705078125,0.4111328125,0.572265625
2024-10-18 17:41:53,2467.3662109375,144453.0859375,0.189453125,0.380859375
2024-10-18 17:41:54,2468.033203125,144453.3642578125,0.6669921875,0.2783203125
2024-10-18 17:41:55,2469.291015625,144454.0703125,1.2578125,0.7060546875
2024-10-18 17:41:56,2472.7158203125,144461.8212890625,3.4248046875,7.7509765625
2024-10-18 17:41:58,2473.37890625,144462.6796875,0.6630859375,0.8583984375
2024-10-18 17:41:59,2474.1591796875,144468.3974609375,0.7802734375,5.7177734375
2024-10-18 17:42:00,2474.5595703125,144469.259765625,0.400390625,0.8623046875
2024-10-18 17:42:01,2475.4052734375,144470.1787109375,0.845703125,0.9189453125
2024-10-18 17:42:03,2482.4228515625,144475.2802734375,7.017578125,5.1015625
2024-10-18 17:42:04,2487.4677734375,144480.92578125,5.044921875,5.6455078125
2024-10-18 17:42:05,2487.57421875,144481.3173828125,0.1064453125,0.3916015625
2024-10-18 17:42:06,2487.71875,144481.3896484375,0.14453125,0.072265625
2024-10-18 17:42:07,2487.71875,144482.806640625,0.0,1.4169921875
2024-10-18 17:42:08,2488.296875,144486.611328125,0.578125,3.8046875
2024-10-18 17:42:09,2491.8115234375,144496.6357421875,3.5146484375,10.0244140625
